THREAT ID,THREAT,VULNERABILITY ID,VULNERABILITY,VTHE,COUNTERMEASURE ID,COUNTERMEASURE
M1,Queuing access,V8,Inadequate logical access control,4,s1,Identification and authentication
M1,Queuing access,V8,Inadequate logical access control,4,s1.1,Password is not displayed on screen as you type
M1,Queuing access,V8,Inadequate logical access control,4,s1.2,The password is case sensitive.
M1,Queuing access,V8,Inadequate logical access control,4,s1.3,Password requires special characters
M1,Queuing access,V8,Inadequate logical access control,4,s1.4,Password must contain at least one numeric character
M1,Queuing access,V8,Inadequate logical access control,4,s1.5,Password must contain at least one alphabetic character
M1,Queuing access,V8,Inadequate logical access control,4,s1.6,The password must not contain more than three consecutive numbers or letters
M1,Queuing access,V8,Inadequate logical access control,4,s1.7,The password must not contain more than two consecutive identical numbers or letters
M1,Queuing access,V8,Inadequate logical access control,4,s1.8,New passwords must always be entered twice to verify correct typing.
M1,Queuing access,V8,Inadequate logical access control,4,s1.9,Encryption of passwords in transit on the network
M1,Queuing access,V8,Inadequate logical access control,4,s1.10,Encryption of passwords stored on the host
M1,Queuing access,V8,Inadequate logical access control,4,s1.11,Access blocked after n failed login attempts
M1,Queuing access,V8,Inadequate logical access control,4,s1.12,Time-limited access
M1,Queuing access,V8,Inadequate logical access control,4,s1.13,Viewing Last Login Messages
M1,Queuing access,V8,Inadequate logical access control,4,s1.14,Disabling system messages
M1,Queuing access,V8,Inadequate logical access control,4,s1.15,Periodic password change request
M1,Queuing access,V8,Inadequate logical access control,4,s1.16,Request for a different password from the previous one each time it is changed
M1,Queuing access,V8,Inadequate logical access control,4,s1.17,Creation of pronounceable passwords by the system
M1,Queuing access,V8,Inadequate logical access control,4,s1.18,Password expiration control
M1,Queuing access,V8,Inadequate logical access control,4,s1.19,Minimum password length assignment
M1,Queuing access,V8,Inadequate logical access control,4,s1.20,Consecutive request for multiple passwords after entering userid
M1,Queuing access,V8,Inadequate logical access control,4,s1.21,Check new user-generated passwords
M1,Queuing access,V8,Inadequate logical access control,4,s1.22,Stop requesting the userid for a certain period of time after n failed login attempts
M1,Queuing access,V8,Inadequate logical access control,4,s1.23,Identification of a user with a unique personal code
M1,Queuing access,V8,Inadequate logical access control,4,s1.24,Inactive terminals lock the screen or log off after a predetermined period of time
M1,Queuing access,V8,Inadequate logical access control,4,s1.25,Proxy account routing
M1,Queuing access,V8,Inadequate logical access control,4,s1.26,User account routing
M1,Queuing access,V8,Inadequate logical access control,4,s1.27,"The system does not warn the user that the userid is incorrect and still allows the password to be entered. After the password has been entered, it generically communicates that access has not been permitted"
M1,Queuing access,V8,Inadequate logical access control,4,s9,"Implementation of ""discretionary access control"""
M1,Queuing access,V8,Inadequate logical access control,4,s10,"Implementation of ""mandatory access control"""
M1,Queuing access,V19,Changing system hardware configuration,1,pr21,Hardware and software inventory
M1,Queuing access,V19,Changing system hardware configuration,1,pr26,Configuration Management
M1,Queuing access,V19,Changing system hardware configuration,1,pr26.1,Assigning a unique identifier to each entry
M1,Queuing access,V19,Changing system hardware configuration,1,pr26.2,Developing a Configuration Management Plan
