scenario id,user,assistant - extended,assistant - short,assistant - details,assistant - risk id,assistant - risk description,assistant - vulnerability id,assistant - vulnerability description,assistant - risk occurrence type
 S168,"The access and exit of employees and visitors to the CIS Application are stored in special electronic registers, reporting the information required by current legislation and the Internal CIS Security Regulations. In particular, the following information is recorded: - Start-up and shutdown of the operating system; - Log-on, with or without success; - Log-off of each user from the workstation; - Creation/modification of users and user groups; - Modification of user and group privileges and permissions; - Modifications to system security settings (including audit functions); - Access to data relating to system security; - Creation, modification or deletion of audit files; - Change of system time and date; - Failed attempts to access system resources. The data is overwritten monthly and is not retained", The described scenario presents at least one security threat., Yes, Log data should never be overwritten and should be retained for at least 5 years, M22, Hidden access doors, V2, Uncontrolled changes to the operating system, Real
 S18, Service logs are recorded, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not possible to monitor the system and its use by users, M20, Service interruption, V7, Untested software applications, Potential
 S22, There is no written procedure, The described scenario presents at least one security threat., Yes, Users cannot refer to certain and formally approved procedures, M28, Network worm, V16, Untrained staff, Real
 S168,"The access and exit of employees and visitors to the CIS Service are stored in special electronic registers, reporting the information required by current legislation and the Internal CIS Security Regulations. In particular, the following information is recorded: - Start-up and shutdown of the operating system; - Log-on, with or without success; - Log-off of each user from the workstation; - Creation/modification of users and user groups; - Modification of user and group privileges and permissions; - Modifications to system security settings (including audit functions); - Access to data relating to system security; - Creation, modification or deletion of audit files; - Change of system time and date; - Failed attempts to access system resources. The data is overwritten monthly and is not retained", The described scenario presents at least one security threat., Yes, Log data should never be overwritten and should be retained for at least 5 years, M28, Network worm, V8, Inadequate logical access control, Real
 S10, Anyone can access the system, The described scenario presents at least one security threat., Yes, The system is vulnerable to unauthorized physical access, M15, Physical theft of media, V32, Inadequate access control to the CED area, Real
 S86,Users are allowed to leave their workstations without having to take any special precautions., The described scenario presents at least one security threat., Yes,The workstations are not properly locked in the absence of the user, M5, Trojan Horse Attack, V8, Inadequate logical access control, Real
 S172, All storage media are properly protected to prevent disclosure of information during maintenance work on the CIS Service workstations., The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not specified what the methods are for protecting storage media., M7, Logic bombs, V14, Inadequate supervision, Potential
 S187,The maximum classification level of the information processed is SECRET but it is not considered necessary to adopt TEMPEST protection measures for the equipment and communication networks used in the CIS system in question., The described scenario presents at least one security threat., Yes, The possibility of not adopting TEMPEST safety measures can only be assessed following the implementation of a TEMPEST Zoning, M18, Interception and espionage, V1, Communication channels not adequately protected, Real
 S44, Is there any control over external drives connected to the system or your work computer?, The scenario is not sufficiently characterized to perform a preliminary analysis., More, The ways in which external storage media are controlled are not detailed enough, M21, Masking, V17, Misuse of information by end users, Potential
 S18, Application logs are recorded, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not possible to monitor the system and its use by users, M26, Unnoticed data theft, V23, Unauthorized software applications, Potential
 S25,Staff is not trained, The described scenario presents at least one security threat., Yes, The staff does not have adequate training, M21, Masking, V15, Ignorance of safety procedures, Real
 S31, There is no log of changes made to the system, The described scenario presents at least one security threat., Yes, It is not possible to control the changes made to the system, M7, Logic bombs, V7, Untested software applications, Real
 S18, Service logs are recorded, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not possible to monitor the system and its use by users, M11, Covert timing channel, V3, Uncontrolled changes to the application software, Potential
S37," The computers are installed in ""open space"" offices also open to the public", The described scenario presents at least one security threat., Yes, Anyone can have direct access to the stations, M5, Trojan Horse Attack, V14, Inadequate supervision, Real
 S168,"The access and exit of employees and visitors to the CIS Platform are stored in special electronic registers, reporting the information required by current legislation and the Internal CIS Security Regulations. In particular, the following information is recorded: - Start-up and shutdown of the operating system; - Log-on, with or without success; - Log-off of each user from the workstation; - Creation/modification of users and user groups; - Modification of user and group privileges and permissions; - Modifications to system security settings (including audit functions); - Access to data relating to system security; - Creation, modification or deletion of audit files; - Change of system time and date; - Failed attempts to access system resources. The data is overwritten monthly and is not retained", The described scenario presents at least one security threat., Yes, Log data should never be overwritten and should be retained for at least 5 years, M5, Trojan Horse Attack, V4, Failure to periodically check the procedures installed on the system, Real
 S68," The system is put into operation and used as is, without any prior or subsequent checks.", The described scenario presents at least one security threat., Yes, System security is not evaluated, M5, Trojan Horse Attack, V14, Inadequate supervision, Real
 S104," To access the system, users can continue to enter their password until they are granted access.", The described scenario presents at least one security threat., Yes, The logical access control system is not adequate, M27, Violation of login procedures, V8, Inadequate logical access control, Real
 S64, Any software can be installed on the system, The described scenario presents at least one security threat., Yes, The system may run uncontrolled and unauthorized software, M4, Asynchronous attack, V7, Untested software applications, Real
 S16, No system logs are recorded, The described scenario presents at least one security threat., Yes, It is not possible to monitor the system and its use by users, M28, Network worm, V9, Non-existent logical access procedures, Real
 S16, No system logs are recorded, The described scenario presents at least one security threat., Yes, It is not possible to monitor the system and its use by users, M5, Trojan Horse Attack, V7, Untested software applications, Real
 S21, There are contingency plans that are periodically tested and evaluated to update them if necessary., The described scenario presents no known security threats., No,,,,,,
 S18, Service logs are recorded, The scenario is not sufficiently characterized to perform a preliminary analysis., More, It is not possible to monitor the system and its use by users, M28, Network worm, V4, Failure to periodically check the procedures installed on the system, Potential
